bedrooms,beds,bath,zipcode,host_is_superhost,review_scores_rating,time_quarter,has_pool,is_petfriendly,has_workspace,has_freeparking,has_gym,home_price_aprx,price,occupancy_rate
1,1,1.0,78758,0,5.0,Q3,1,1,1,1,1,398000,81.0,0.0306435137895812
1,2,1.0,78722,1,4.97,Q3,0,0,1,1,0,595000,95.0,0.0872760679834634
3,3,2.5,78724,1,4.97,Q3,0,0,1,1,0,384000,134.0,0.3100470957613814
3,3,3.5,78704,0,5.0,Q3,0,0,0,1,0,802000,630.0,0.0282406099971759
1,1,1.0,78758,0,5.0,Q3,1,1,1,1,1,398000,72.0,0.030441400304414
1,1,1.0,78758,0,5.0,Q3,1,1,1,1,1,398000,86.0,0.0335570469798657
1,1,1.0,78758,0,3.0,Q3,1,1,1,1,1,398000,114.0,0.033003300330033
1,1,1.0,78759,0,5.0,Q3,1,0,1,1,0,661000,92.0,0.5286343612334802
4,5,3.0,78744,0,4.72,Q3,1,1,1,0,0,358000,270.0,0.5926724137931034
2,2,2.0,78757,0,4.8,Q3,0,1,0,1,0,612000,250.0,0.0196386488609583
2,2,2.0,78704,0,5.0,Q3,0,0,1,1,0,802000,649.0,0.0042408821034775
4,5,2.5,78727,1,4.92,Q3,0,0,1,0,0,474000,200.0,0.1990049751243781
3,3,1.0,78745,1,4.75,Q3,0,1,1,0,0,456000,169.0,0.0570866141732283
5,6,4.0,78737,0,5.0,Q3,1,1,1,0,0,786000,350.0,0.0315831030398736
3,3,2.0,78703,0,5.0,Q3,0,0,1,1,0,1324000,388.0,0.0989399293286219
4,10,2.0,78702,1,4.86,Q3,0,1,0,0,0,613000,512.0,0.3139584217225286
1,1,1.0,78704,1,5.0,Q3,0,0,1,0,0,802000,100.0,0.2295332823259372
3,3,2.5,78702,0,4.71,Q3,0,0,1,1,0,613000,1000.0,0.0275049115913556
5,6,3.0,78704,1,4.93,Q3,0,0,1,1,0,802000,916.0,0.1143510577472841
1,1,1.0,78741,0,4.33,Q3,1,0,1,1,1,397000,79.0,0.0393184796854521
3,3,2.0,78703,1,5.0,Q3,0,0,1,1,0,1324000,358.0,0.0043290043290043
2,2,1.0,78756,1,5.0,Q3,0,1,1,0,0,728000,145.0,0.0325335502236681
3,3,2.5,78702,0,5.0,Q3,0,0,1,0,0,613000,1143.0,0.2127659574468085
2,3,2.5,78721,1,4.9,Q3,0,1,0,1,0,464000,174.0,0.7
3,5,2.0,78704,0,5.0,Q3,1,0,0,1,0,802000,599.0,0.3341902313624679
1,1,1.5,78745,1,5.0,Q3,0,0,1,1,0,456000,102.0,0.0544464609800363
2,2,1.0,78737,1,4.85,Q3,0,1,1,1,0,786000,106.0,0.2711028958718423
1,1,1.0,78758,0,4.2,Q3,1,0,1,1,1,398000,114.0,0.0545851528384279
1,2,2.0,78702,1,4.96,Q3,0,0,1,1,0,613000,650.0,0.2244389027431421
2,2,2.5,78721,1,5.0,Q3,0,0,1,1,0,464000,150.0,0.1849217638691322
4,5,3.0,78741,1,5.0,Q3,0,0,1,1,0,397000,364.0,0.0657246138678935
3,5,2.0,78754,1,4.9,Q3,0,1,1,1,0,385000,201.0,0.6460296096904441
1,1,1.0,78704,0,4.48,Q3,0,0,0,1,0,802000,100.0,0.2335640138408304
3,6,3.0,78734,0,5.0,Q3,0,0,1,0,1,648000,595.0,0.0629405840886203
1,1,1.0,78741,1,5.0,Q3,1,0,1,1,0,397000,95.0,0.2156549520766773
2,2,2.0,78702,0,4.75,Q3,0,0,1,1,0,613000,199.0,0.1702127659574468
3,3,2.5,78727,1,4.98,Q3,1,1,1,1,0,474000,331.0,0.7
3,3,1.5,78704,0,5.0,Q3,0,1,1,1,0,802000,250.0,0.0115030674846625
0,1,0.0,78702,0,4.67,Q3,1,0,0,0,1,613000,144.0,0.053066037735849
2,2,2.0,78745,0,5.0,Q3,0,0,1,1,0,456000,212.0,0.0218898212331265
4,4,3.0,78753,0,5.0,Q3,0,0,1,1,0,364000,1790.0,0.009930486593843
1,1,1.0,78756,0,5.0,Q3,1,0,1,1,1,728000,150.0,0.0177830468286899
3,3,2.0,78748,0,5.0,Q3,1,0,0,1,0,440000,200.0,0.011883541295306
3,3,2.0,78723,0,4.88,Q3,0,1,1,1,0,502000,350.0,0.1235839340885684
1,1,1.0,78704,1,5.0,Q3,0,0,1,0,0,802000,75.0,0.0608210846426761
1,1,1.0,78704,1,4.8,Q3,1,0,1,0,0,802000,119.0,0.2078281953585036
